valueUP	representativeUP	valueDOWN	representativeDOWN
6.64	transcription factor	-4.58	transcription factor
10.9	catalytic activity	-9.06	catalytic activity
100	ser endopep	-61.11	monooxygenase
2.53	signal transducer	-6.41	signal transducer
11.21	G-prt. coupled recep.	-4.62	G-prt. coupled recep.
6.88	Rho guanylnuc exch factor	-13.48	Rho guanylnuc exch factor
3.2	str mol activity	-2.79	str mol activity
8.65	transporter	-28.44	str const of eye lens
13.4	neurotransmitter	-11.54	transporter
9.62	binding	-5.3	binding
23.37	protein binding	-22.19	protein binding
3.31	electron carrier	-6.75	electron carrier
16.92	str const of cuticle	-100	proton-transp ATPase
2.95	nutrient reservoir	-72.53	ser/thr kinase
4.9	peptidyl-prolyl isomerase	-4.67	ligase
47.54	oxidoreductase	-13.09	oxidoreductase
59.36	methyltransf.	-2.43	chromatin binding
6.23	pigment binding	-30.08	actin binding
2.43	isomerase	-11.28	2Fe2S cluster binding
4.83	ligase	-82.71	Ca ion binding
54.53	chitin binding	-100	heme binding
3.21	chromatin binding	-7.96	transferase
23.59	microtubule binding	-7.17	hydrolase
13.8	hydrolase
4.51	2Fe2S cluster binding
6.58	lipid binding
5.9	carbohydrate binding
63.98	heme binding
11.33	oxidoreductase
75.61	Zn ion binding
8.21	transferase
