value	representative	value	representative
15.92	transcription factor	-7.92	catalytic activity
3.37	transcription cofac	-63.11	ser endopep
16.73	catalytic activity	-3.11	G-protein coupled recep
7.33	signal transducer	-15.88	str const of cytoskeleton
38.06	G-protein coupled recep	-2.68	transporter
15.67	Rho guanylnuc exch fact	-6.9	binding
8.27	str mol activity	-16.93	protein binding
16.42	transporter	-5.19	electron carrier
49.27	lipid transporter	-3.37	glutamate-ammonia ligase
14.9	binding	-38.01	cytochrome-c oxidase
41.91	prt binding	-3.18	peptidyl-prolyl isomerase
6.09	electron carrier	-52.3	ser/thr kinase
100	oxidoreductase	-4.49	ligase
38.71	str const of cuticle	-8.51	oxidoreductase
3.09	nutr reservoir	-9.09	actin binding
9.23	prt disulfide isomerase	-4.34	4Fe4S cluster binding
17.76	phosphorus-oxygen lyase	-29.75	heme binding
53.66	carbon-nitrogen ligase	-7.58	hydrolase
100	ser endopep	-88.6	Zn ion bind
100	transf acyl groups	-6.42	transferase
6.21	pigment binding		
10.04	ligase		
5.62	isomerase		
5.26	lyase		
4.72	oxygen binding		
11.63	odorant binding		
3.61	polysaccharide binding		
15.15	chitin binding		
23.84	oxidoreductase		
2.72	drug binding		
6.22	chromatin binding		
74.89	actin binding		
8.73	lipid binding		
10.41	carbohydrate binding		
11.48	4Fe4S cluster binding		
100	heme binding		
19.1	transferase		
100	Zn ion bind		
18.54	hydrolase		
